,Ticker,Position,Date,Company Name,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily return,1-week (5-day) moving average daily return,Rolling cumulative sum of volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L
0,A,1000.0,2020-07-06,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,88.38568115234375,0.0,89.7019180909296,88.0986816096904,88.0986816096904,0.0,1412200.0,-0.35051561765748984,0.7595196210058066,53075975034.0,-350.5156176574898,-5632.6411028848115,-5632.6411028848115
0,A,1000.0,2020-07-07,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,88.28670501708984,0.0,89.10811660294338,87.75229293293572,87.92053167690105,0.0,1441700.0,-0.35564304812700226,0.760297757961305,55721574674.0,-355.64304812700226,-5988.284151011814,-5988.284151011814
0,A,1000.0,2020-07-08,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,88.6133041381836,0.0,89.39512891684436,88.20754382059611,88.59350690050746,0.0,1069600.0,-0.35251176237958465,0.791191740034429,58249514176.0,-352.51176237958464,-6340.795913391399,-6340.795913391399
1,AAL,2000.0,2020-07-08,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.989999771118164,0.0,12.079999923706055,11.430000305175781,11.600000381469727,0.0,85034500.0,-0.8646930064539636,0.5503994775565004,58334548676.0,-1729.3860129079274,-1729.3860129079274,-8070.181926299327
0,A,1000.0,2020-07-09,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,88.9893569946289,0.0,89.46439248126813,87.64343192465614,88.72215472431697,0.0,1133800.0,-0.35149726460472236,0.7928434196439952,60858150319.0,-351.4972646047224,-6692.293177996122,-8421.67919090405
1,AAL,2000.0,2020-07-09,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.180000305175781,0.0,11.9399995803833,11.149999618530273,11.9399995803833,0.0,77131200.0,-0.8743669953042748,0.5447456704987725,60935281519.0,-1748.7339906085494,-3478.1200035164766,-10170.413181512598
0,A,1000.0,2020-07-10,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,88.49453735351562,0.0,88.93988456577664,87.65333601982265,88.92008732944501,0.0,938100.0,-0.34981011952929103,0.8324061443941451,63686412403.0,-349.81011952929106,-7042.103297525413,-10520.22330104189
1,AAL,2000.0,2020-07-10,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.9399995803833,0.0,11.949999809265137,10.979999542236328,11.0,0.0,90450800.0,-0.8650764223707311,0.5885754590433895,63776863203.0,-1730.1528447414623,-5208.272848257939,-12250.376145783352
0,A,1000.0,2020-07-13,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,88.3362045288086,0.0,90.29570826360701,87.7325171280793,89.03885546808957,0.0,1646200.0,-0.348227965687519,0.7705228120362494,66357542956.0,-348.22796568751903,-7390.331263212932,-12598.604111470871
1,AAL,2000.0,2020-07-13,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,11.630000114440918,0.0,12.270000457763672,11.449999809265137,12.130000114440918,0.0,67580300.0,-0.868343900708932,0.5246282090729464,66425123256.0,-1736.687801417864,-6944.960649675802,-14335.291912888735
